chapter_title,book_id
The Paleontology of Iranian Nationalism,B001
Pre-Islamic Iran and Archaistic Frenzy,B001
Of Lizard Eaters and Invasions: The Import of European Racial Thought,B001
Aryanism and Dislocation,B001
Thomas Carlyle,B002
Julius Evola,B002
The Dangerous Fantasy of Apolitical Money,B003
Conclusion, B002
The Prophets of Doom, B002
Arthur de Gobineau, B002
Joseph Tainter, B002
Europe, That Feared Yet Admired Idol
Epilogue, B003
The Marriage of Debt and Profit, B003
The Black Magic of Banking, B003
Stupid Viruses?, B003
The Road to Officialdom, B002
Akhundzadeh and Kermani: The Emergence of Dislocative Nationalism
John Bagot Glubb, B002
Haunted Machines, B003
Pitrim Sorokin, B002
Oswald Spengler, B002
Triumph, B001
Conclusion: The Failure of Dislocative Nationalism, B001
