concept_id,concept_name,parent_concept,keywords
C001,Iranian Nationalism,Nationalism,"iranian nationalism,national identity,iranian identity,nation iran"
C002,Nationalism,Political Identity,"nationalism,nationalist,nation,national identity"
C003,Race,Identity and Ideology,"race,racial,racism,aryan,aryanism"
C004,Modernization,Political Development,"modernization,modernity,modernisation,reform,progress"
C005,State Capacity,Political Development,"state capacity,administrative capacity,institutional capacity,governing,government capacity"
C006,Military Modernization,State Capacity,"military reform,military modernization,army,warfare,conquering,military weakness"
C007,Imperialism,International Political Economy,"imperialism,imperial,empire,colonialism,colonial"
C008,Europe,Geography and Civilization,"europe,european,western civilization,the west"
C009,Capitalism,Political Economy,"capitalism,capitalist,market economy"
C010,Debt,Political Economy,"debt,debtor,creditor,borrowing,loan"
C011,Banking,Finance,"bank,banking,banks,credit creation"
C012,Money,Finance,"money,currency,monetary"
C013,Financialization,Political Economy,"financialization,financialisation,finance capital,financial sector"
C014,Inequality,Political Economy,"inequality,unequal,wealth distribution,income distribution"
C015,Political Economy,Economics,"political economy,economic power,economic system"
C016,Elite Power,Political Economy,"elite,elites,ruling class,ruling elite"
C017,Social Decline,Political Theory,"decline,collapse,decay,civilizational decline"
C018,Civilization,Political Theory,"civilization,civilisation,civilizational,civilisational"
C019,Technology,Political Economy,"technology,machine,machines,automation"
C020,Ideology,Political Theory,"ideology,ideological,worldview"
